,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,beaverlodge,75,CA,1619922195,81,55.2166,-119.4361,6.0,8.23
1,butaritari,100,KI,1619922196,73,3.0707,172.7902,28.5,4.55
2,tasiilaq,9,GL,1619922197,86,65.6145,-37.6368,-3.0,1.76
3,cidreira,0,BR,1619922198,83,-30.1811,-50.2056,20.27,6.87
4,jishu,4,CN,1619922200,44,44.3167,126.8,14.68,3.04
5,avera,1,US,1619922201,68,33.194,-82.5271,19.0,2.57
6,carmen del parana,0,PY,1619922202,83,-27.2333,-56.2167,21.0,1.03
7,meulaboh,92,ID,1619922204,78,4.1363,96.1285,27.62,1.19
8,qaanaaq,32,GL,1619922205,54,77.484,-69.3632,-2.19,3.16
9,mataura,67,NZ,1619922206,80,-46.1927,168.8643,15.0,4.02
10,santa isabel do rio negro,100,BR,1619922207,97,-0.4139,-65.0192,23.32,0.54
11,puerto ayora,10,EC,1619922209,93,-0.7393,-90.3518,23.33,2.53
12,aswan,0,EG,1619922210,16,24.0934,32.907,27.82,4.54
13,caluquembe,100,AO,1619922211,90,-13.7833,14.6833,15.26,0.5
14,hervey bay,40,AU,1619922213,64,-25.2986,152.8535,24.0,8.23
15,gasa,0,PS,1619922214,55,31.5,34.4667,18.89,1.54
16,vaini,75,TO,1619922215,73,-21.2,-175.2,26.0,7.72
17,kirovskiy,17,RU,1619922217,43,45.0917,133.5136,13.71,6.21
18,hobart,0,AU,1619922218,46,-42.8794,147.3294,21.0,3.09
19,angoram,88,PG,1619922219,50,-4.0625,144.0661,33.03,1.09
20,jamestown,75,US,1619921973,35,42.097,-79.2353,13.0,9.26
21,necochea,100,AR,1619922221,77,-38.5473,-58.7368,14.55,4.67
22,comodoro rivadavia,0,AR,1619922223,58,-45.8667,-67.5,14.0,1.03
23,orapa,0,BW,1619922224,80,-21.2833,25.3667,14.67,6.43
24,bredasdorp,3,ZA,1619922225,93,-34.5322,20.0403,6.0,2.06
25,busselton,25,AU,1619921972,73,-33.65,115.3333,18.89,0.45
26,mount gambier,40,AU,1619922228,60,-37.8333,140.7667,20.0,6.69
27,mabopane,0,ZA,1619922229,81,-25.4977,28.1007,11.67,4.12
28,bereda,11,ES,1619922230,100,43.2686,-7.5406,2.78,0.89
29,severo-kurilsk,100,RU,1619922232,97,50.6789,156.125,1.87,10.92
30,bluff,99,NZ,1619922233,80,-46.6,168.3333,15.0,4.02
